ID	GeneSymbol	mRNA_Accession	adj.P.Val	P.Value	t	B	logFC	Gene.title
10439583	Sidt1	NM_001159419	0.00004602	2.81E-08	-2.86E+01	9.70648	-3.86	"SID1 transmembrane family, member 1"
10522335	Atp10d	NM_153389	0.00004602	2.85E-08	-2.85E+01	9.69464	-2.87	"ATPase, class V, type 10D"
10375443	Havcr2	NM_134250	0.00004602	2.88E-08	2.85E+01	9.68816	4.43	hepatitis A virus cellular receptor 2
10582545	Mela///Kcnma1	BC113756	0.00004602	2.91E-08	2.84E+01	9.67948	8.31	"melanoma antigen///potassium large conductance calcium-activated channel, subfamily M, alpha member 1"
10497817	Anxa5	NM_009673	0.00004602	3.09E-08	2.82E+01	9.63371	2.89	annexin A5
10351197	Sell	NM_001164059	0.00004602	3.11E-08	-2.81E+01	9.62889	-3.43	"selectin, lymphocyte"
10521759	Slit2	NM_001291227	0.0000481	3.38E-08	2.78E+01	9.56218	4.74	slit homolog 2 (Drosophila)
10359624	Prrx1	NM_001025570	0.00005684	4.30E-08	2.68E+01	9.37079	3.96	paired related homeobox 1
10523451	Anxa3	NM_013470	0.00005684	4.32E-08	2.68E+01	9.3679	3.85	annexin A3
10519717	Sema3a	NM_001243072	0.00005746	4.53E-08	2.66E+01	9.32844	3.82	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
10379511	Ccl2	NM_011333	0.00005746	4.69E-08	2.65E+01	9.30127	4.78	chemokine (C-C motif) ligand 2
10487021	Slc30a4	NM_001290993	0.00006029	5.09E-08	2.61E+01	9.2345	3.1	"solute carrier family 30 (zinc transporter), member 4"
10533182	Dtx1	ENSMUST00000145174	0.00006086	5.31E-08	-2.60E+01	9.2	-2.78	"deltex 1, E3 ubiquitin ligase"
10350725	Rgs8	NM_026380	0.00007217	6.50E-08	2.52E+01	9.03281	3.03	regulator of G-protein signaling 8
10423293	Myo10	NM_019472	0.00007941	7.58E-08	2.46E+01	8.90286	3.43	myosin X
10405063	Ogn	NM_008760	0.00007941	7.59E-08	2.46E+01	8.90177	3.52	osteoglycin
10358733	Rgl1	NM_016846	0.00008197	8.26E-08	2.43E+01	8.83078	3.05	"ral guanine nucleotide dissociation stimulator,-like 1"
10521913	Rbpj	NM_001080927	0.00008197	8.50E-08	2.42E+01	8.80605	2.74	recombination signal binding protein for immunoglobulin kappa J region
10586744	Anxa2	ENSMUST00000136282	0.00008197	8.53E-08	2.42E+01	8.80313	2.9	annexin A2
10528008	Steap2	NM_001103156	0.00008932	9.74E-08	2.37E+01	8.68965	3.29	six transmembrane epithelial antigen of prostate 2
10404152	Fam65b	NM_001286100	0.00008932	1.02E-07	-2.35E+01	8.6499	-4.35	"family with sequence similarity 65, member B"
10472162	Gpd2	NM_001145820	0.00008932	1.03E-07	2.35E+01	8.6436	2.72	"glycerol phosphate dehydrogenase 2, mitochondrial"
10531737	Hpse	NM_152803	0.00008932	1.11E-07	2.32E+01	8.57439	3.38	heparanase
10404439	Serpinb9b	NM_011452	0.00008932	1.14E-07	2.31E+01	8.55244	4.65	"serine (or cysteine) peptidase inhibitor, clade B, member 9b"
10356866	Pdcd1	NM_008798	0.00008932	1.16E-07	2.31E+01	8.53622	4.01	programmed cell death 1
10352905	Cd34	NM_001111059	0.00008932	1.20E-07	2.30E+01	8.51177	4.07	CD34 antigen
10467258	Myof	NM_001099634	0.00008932	1.20E-07	2.30E+01	8.50573	3.19	myoferlin
10542205	Klre1	NM_153590	0.00008932	1.21E-07	2.29E+01	8.50132	3.27	killer cell lectin-like receptor family E member 1
10546855	Srgap3	NM_080448	0.00008932	1.22E-07	2.29E+01	8.49779	3.37	SLIT-ROBO Rho GTPase activating protein 3
10350516	Ptgs2	NM_011198	0.00008932	1.23E-07	2.29E+01	8.48782	4.46	prostaglandin-endoperoxide synthase 2
10514054	Nfib	NM_001113209	0.00008932	1.23E-07	2.29E+01	8.48645	2.3	nuclear factor I/B
10363173	Gja1	NM_010288	0.00009014	1.27E-07	2.28E+01	8.46073	3.56	"gap junction protein, alpha 1"
10423548	Sdc2	NM_008304	0.00009131	1.31E-07	2.27E+01	8.43211	2.82	syndecan 2
10536494	Cav2	NM_001277756	0.00009172	1.34E-07	2.26E+01	8.41104	2.78	caveolin 2
10355403	Fn1	NM_001276409	0.00009227	1.38E-07	2.25E+01	8.38832	5.26	fibronectin 1
10522051	Klf3	NM_008453	0.00009227	1.41E-07	-2.24E+01	8.36942	-2.62	Kruppel-like factor 3 (basic)
10429140	Ndrg1	NM_008681	0.00009227	1.48E-07	2.23E+01	8.32165	2.84	N-myc downstream regulated gene 1
10360070	Fcer1g	NM_010185	0.00009227	1.54E-07	2.21E+01	8.2895	4.75	"Fc receptor, IgE, high affinity I, gamma polypeptide"
10383756	Ifitm2	XM_006544203	0.00009227	1.54E-07	2.21E+01	8.28923	3.39	interferon induced transmembrane protein 2
10523511	Prkg2	AK136433	0.00009227	1.54E-07	2.21E+01	8.28748	3.45	"protein kinase, cGMP-dependent, type II"
10471721	Ptgs1	NM_008969	0.00009227	1.55E-07	2.21E+01	8.28078	3.44	prostaglandin-endoperoxide synthase 1
10367436	Cd63	NM_001042580	0.00009227	1.57E-07	2.21E+01	8.27301	6.69	CD63 antigen
10447951	Thbs2	NM_011581	0.00009227	1.58E-07	2.20E+01	8.26445	2.97	thrombospondin 2
10577190	Rasa3	NM_009025	0.00009544	1.66E-07	-2.19E+01	8.2199	-2.95	RAS p21 protein activator 3
10360398	Ifi202b	NM_008327	0.0000955	1.69E-07	2.18E+01	8.20504	2.73	interferon activated gene 202B
10494445	Lix1l	NM_001163170	0.00010193	1.83E-07	2.16E+01	8.13249	2.72	Lix1-like
10605797	Arhgef9	NM_001033329	0.00010482	1.93E-07	2.14E+01	8.08855	2.53	CDC42 guanine nucleotide exchange factor (GEF) 9
10553299	Ifitm2	XM_006544203	0.00010482	1.95E-07	2.14E+01	8.07962	3.2	interferon induced transmembrane protein 2
10598976	Timp1	NM_001044384	0.00010519	1.98E-07	2.13E+01	8.06283	4.78	tissue inhibitor of metalloproteinase 1
10360315	Fcrl6	NM_001164725	0.00010519	2.02E-07	2.12E+01	8.0436	3.66	Fc receptor-like 6
10344462		0	0.00010519	2.04E-07	-2.12E+01	8.03633	-2.58	
10592001	St14	NM_011176	0.00010519	2.07E-07	2.12E+01	8.02333	3.06	suppression of tumorigenicity 14 (colon carcinoma)
10546853	Srgap3	NM_080448	0.00011836	2.36E-07	2.07E+01	7.9032	3.17	SLIT-ROBO Rho GTPase activating protein 3
10569733	Arhgef18	NM_133962	0.00012229	2.50E-07	-2.06E+01	7.85224	-2.41	rho/rac guanine nucleotide exchange factor (GEF) 18
10538150	Tmem176a	NM_001098271	0.00012229	2.52E-07	2.06E+01	7.84633	2.69	transmembrane protein 176A
10391332	Ptrf	NM_008986	0.00012229	2.61E-07	2.04E+01	7.81228	2.18	polymerase I and transcript release factor
10555510	Pde2a	NM_001008548	0.00012229	2.62E-07	-2.04E+01	7.80751	-4.01	"phosphodiesterase 2A, cGMP-stimulated"
10365344	Tcp11l2	NM_146008	0.00012229	2.63E-07	-2.04E+01	7.80491	-3.34	t-complex 11 (mouse) like 2
10420268	Gzme	NM_010373	0.00012229	2.65E-07	2.04E+01	7.79895	5.82	granzyme E
10474671	Spred1	NM_001277256	0.00012434	2.73E-07	2.03E+01	7.77179	3.01	"sprouty protein with EVH-1 domain 1, related sequence"
10407946	Stard3nl	NM_024270	0.00012677	2.82E-07	2.02E+01	7.73975	1.96	STARD3 N-terminal like
10569646	Ccnd1	NM_007631	0.00012677	2.85E-07	2.02E+01	7.73044	3.6	cyclin D1
10385776	Tcf7	NM_009331	0.00012677	2.89E-07	-2.01E+01	7.71918	-4.51	"transcription factor 7, T cell specific"
10503259	Trp53inp1	NM_001199105	0.00012999	3.00E-07	-2.00E+01	7.68466	-3.4	transformation related protein 53 inducible nuclear protein 1
10345752	Il1r2	NM_010555	0.00013435	3.14E-07	1.99E+01	7.64284	3.99	"interleukin 1 receptor, type II"
10594404	Smad3	NM_016769	0.00013458	3.20E-07	-1.98E+01	7.62481	-2.04	SMAD family member 3
10498576	Lxn	NM_016753	0.00013458	3.22E-07	1.98E+01	7.61917	3.17	latexin
10547830	Tpi1	NM_009415	0.00014203	3.44E-07	1.96E+01	7.55811	2.99	triosephosphate isomerase 1
10437639	Emp2	NM_007929	0.00014821	3.63E-07	1.95E+01	7.50758	3.1	epithelial membrane protein 2
10537184	Cald1	NM_145575	0.00014976	3.73E-07	1.94E+01	7.48244	2.9	caldesmon 1
10541246	Il17ra	NM_008359	0.00014976	3.78E-07	-1.93E+01	7.46894	-2.01	interleukin 17 receptor A
10393544	Cyth1	NM_001112699	0.00014976	3.79E-07	-1.93E+01	7.4661	-2.09	cytohesin 1
10441436	Snx9	NM_025664	0.00015211	3.94E-07	1.92E+01	7.43089	2.82	sorting nexin 9
10485294	Hsd17b12	NM_019657	0.00015211	4.00E-07	1.92E+01	7.41563	2.09	hydroxysteroid (17-beta) dehydrogenase 12
10348354	Ugt1a1///Ugt1a6b///Ugt1a9///Ugt1a5///Ugt1a7c///Ugt1a10///Ugt1a6a///Ugt1a2	NM_013701	0.00015211	4.02E-07	1.92E+01	7.41154	2.6	"UDP glucuronosyltransferase 1 family, polypeptide A1///UDP glucuronosyltransferase 1 family, polypeptide A6B///UDP glucuronosyltransferase 1 family, polypeptide A9///UDP glucuronosyltransferase 1 family, polypeptide A5///UDP glucuronosyltransferase 1 family, polypeptide A7C///UDP glycosyltransferase 1 family, polypeptide A10///UDP glucuronosyltransferase 1 family, polypeptide A6A///UDP glucuronosyltransferase 1 family, polypeptide A2"
10345762	Il1r1	NM_001123382	0.00015211	4.02E-07	1.92E+01	7.41066	2.21	"interleukin 1 receptor, type I"
10498273	Tm4sf1	NM_008536	0.00015545	4.15E-07	1.91E+01	7.38025	2.81	transmembrane 4 superfamily member 1
10373740	Pik3ip1	ENSMUST00000093399	0.00015967	4.31E-07	-1.89E+01	7.34508	-1.86	phosphoinositide-3-kinase interacting protein 1
10576034	Irf8	NM_008320	0.00016729	4.57E-07	1.88E+01	7.28933	3.94	interferon regulatory factor 8
10536220	Col1a2	NM_007743	0.00016729	4.65E-07	1.87E+01	7.2732	2.08	"collagen, type I, alpha 2"
10463070	Entpd1	NM_009848	0.00016729	4.66E-07	1.87E+01	7.27195	2.91	ectonucleoside triphosphate diphosphohydrolase 1
10587554	Tpbg	NM_001164792	0.00016841	4.75E-07	1.87E+01	7.25282	2.75	trophoblast glycoprotein
10445293	Pla2g7	NM_013737	0.00016841	4.78E-07	1.87E+01	7.24664	2.88	"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
10519324	Cdk6	NM_009873	0.00017904	5.14E-07	1.85E+01	7.17908	1.93	cyclin-dependent kinase 6
10467979	Scd1	NM_009127	0.00018023	5.22E-07	1.84E+01	7.16346	5	stearoyl-Coenzyme A desaturase 1
10374236	Upp1	NM_001159401	0.00018182	5.32E-07	1.84E+01	7.14591	2.37	uridine phosphorylase 1
10407955	Epdr1	NM_134065	0.00018416	5.44E-07	1.83E+01	7.12459	2.61	ependymin related protein 1 (zebrafish)
10511282	Tnfrsf4	NM_011659	0.00018591	5.54E-07	1.82E+01	7.10649	3.14	"tumor necrosis factor receptor superfamily, member 4"
10452508	Twsg1	NM_023053	0.00018782	5.65E-07	1.82E+01	7.08771	2.26	twisted gastrulation BMP signaling modulator 1
10534303	Lat2	NM_020044	0.00018968	5.76E-07	1.81E+01	7.06938	3.35	"linker for activation of T cells family, member 2"
10369702	Tet1	NM_001253857	0.00019304	5.97E-07	-1.80E+01	7.03582	-2.18	tet methylcytosine dioxygenase 1
10410124	Ctsl	NM_009984	0.00019304	5.97E-07	1.80E+01	7.03498	4.35	cathepsin L
10547740	C1s1	NM_001097617	0.00019719	6.16E-07	1.80E+01	7.0059	2.59	"complement component 1, s subcomponent 1"
10548879	Mgp	NM_008597	0.00020048	6.36E-07	1.79E+01	6.97432	3.44	matrix Gla protein
10496091	Lef1	NM_001276402	0.00020048	6.37E-07	-1.79E+01	6.97282	-3.05	lymphoid enhancer binding factor 1
10446928	Ltbp1	NM_019919	0.00020139	6.50E-07	1.78E+01	6.95329	2.29	latent transforming growth factor beta binding protein 1
10587829	Plod2	NM_001142916	0.00020139	6.54E-07	1.78E+01	6.94782	3.11	"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2"
10605766	Maged1	NM_019791	0.00020139	6.57E-07	1.78E+01	6.94323	3.22	"melanoma antigen, family D, 1"
10427402	Ghr	NM_001048178	0.00020305	6.68E-07	1.77E+01	6.92703	2.87	growth hormone receptor
10420302	Gzmc	NM_010371	0.00020589	6.89E-07	1.77E+01	6.89769	5.88	granzyme C
10414269	Bnip3	NM_009760	0.00020589	6.89E-07	1.77E+01	6.89726	3.3	BCL2/adenovirus E1B interacting protein 3
10481518	Ptges	NM_022415	0.00020879	7.05E-07	1.76E+01	6.8757	3.18	prostaglandin E synthase
10372796	Hmga2	NM_010441	0.00021203	7.24E-07	1.75E+01	6.84966	2.79	high mobility group AT-hook 2
10364460	Gzmm	NM_008504	0.00021203	7.28E-07	-1.75E+01	6.84479	-2.6	granzyme M (lymphocyte met-ase 1)
10564631	Slco3a1	NM_001038643	0.00021623	7.64E-07	-1.74E+01	6.79685	-2.89	"solute carrier organic anion transporter family, member 3a1"
10441601	Tagap	NM_145968	0.00021623	7.69E-07	-1.74E+01	6.79096	-2.8	T cell activation Rho GTPase activating protein
10561104	Axl	NM_001190974	0.00021623	7.70E-07	1.74E+01	6.79037	2.83	AXL receptor tyrosine kinase
10473281	Itgav	NM_008402	0.00021623	7.71E-07	1.74E+01	6.78857	2.56	integrin alpha V
10483381	Stk39	NM_016866	0.00021623	7.72E-07	1.74E+01	6.78685	2.16	serine/threonine kinase 39
10577641	1810011O10Rik	NM_026931	0.00023433	8.49E-07	1.71E+01	6.69506	3.52	RIKEN cDNA 1810011O10 gene
10544596	Tmem176b	NM_001164207	0.00023433	8.50E-07	1.71E+01	6.69348	2.94	transmembrane protein 176B
10408689	Nrn1	NM_153529	0.00023454	8.58E-07	1.71E+01	6.68505	4.51	neuritin 1
10548030	Cd9	NM_007657	0.00023473	8.65E-07	1.71E+01	6.67681	2.62	CD9 antigen
10351206	Selp	NM_011347	0.00024544	9.11E-07	1.69E+01	6.62581	2.87	"selectin, platelet"
10471844	Nek6	NM_001159631	0.00024555	9.18E-07	1.69E+01	6.61799	2.47	NIMA (never in mitosis gene a)-related expressed kinase 6
10421029	Cdca2	NM_001110162	0.00024555	9.25E-07	1.69E+01	6.61068	1.89	cell division cycle associated 2
10472501	Cers6	NM_172856	0.00026219	9.96E-07	1.67E+01	6.53882	2.34	ceramide synthase 6
10377265	Pik3r5	NM_177320	0.00026219	1.00E-06	-1.67E+01	6.5319	-2.7	"phosphoinositide-3-kinase, regulatory subunit 5, p101"
10386058	Sparc	NM_001290817	0.00026264	1.01E-06	1.67E+01	6.52301	3.31	secreted acidic cysteine rich glycoprotein
10599680	3830403N18Rik	NM_027510	0.00026293	1.02E-06	1.66E+01	6.51481	2.46	RIKEN cDNA 3830403N18 gene
10377938	Eno3	NM_001136062	0.0002634	1.04E-06	1.66E+01	6.50049	2.82	"enolase 3, beta muscle"
10546661	Foxp1	ENSMUST00000074346	0.0002634	1.04E-06	-1.66E+01	6.4989	-1.8	forkhead box P1
10362861	Scml4	NM_172938	0.00026738	1.06E-06	-1.65E+01	6.47716	-2.01	sex comb on midleg-like 4 (Drosophila)
10406934	Etv1	NM_001163154	0.00027175	1.09E-06	1.65E+01	6.44861	2.57	ets variant 1
10456522	Tcf4	NM_001083967	0.00027175	1.09E-06	1.65E+01	6.44631	2	transcription factor 4
10395320	Twist1	NM_011658	0.00027175	1.10E-06	1.64E+01	6.44049	2.53	twist basic helix-loop-helix transcription factor 1
10373542	Dgka	NM_016811	0.00028571	1.17E-06	-1.63E+01	6.3798	-2.58	"diacylglycerol kinase, alpha"
10532741	Tmem119	NM_146162	0.00028571	1.18E-06	1.63E+01	6.37263	2.51	transmembrane protein 119
10466410	Psat1	ENSMUST00000161707	0.00028571	1.18E-06	1.63E+01	6.37068	2.57	phosphoserine aminotransferase 1
10375019	Nsg2	XM_006514581	0.00029294	1.22E-06	-1.62E+01	6.33802	-2.48	neuron specific gene family member 2
10345241	Dst	NM_001276764	0.00029294	1.24E-06	1.62E+01	6.32631	1.73	dystonin
10502655	Cyr61	NM_010516	0.00029294	1.24E-06	1.62E+01	6.32601	3.46	cysteine rich protein 61
10382449	Rab37	NM_001163753	0.0002932	1.25E-06	-1.61E+01	6.31854	-2.38	"RAB37, member RAS oncogene family"
10463355	Scd2	NM_009128	0.00029807	1.28E-06	1.61E+01	6.2925	2.77	stearoyl-Coenzyme A desaturase 2
10406111	Slc12a7	NM_011390	0.00029807	1.28E-06	-1.61E+01	6.28918	-1.58	"solute carrier family 12, member 7"
10549222	Bcat1	NM_001024468	0.00030024	1.30E-06	1.60E+01	6.27287	2.54	"branched chain aminotransferase 1, cytosolic"
10452815	Xdh	NM_011723	0.00030024	1.32E-06	1.60E+01	6.26132	2.09	xanthine dehydrogenase
10550650	Ercc1	NM_007948	0.00030024	1.32E-06	1.60E+01	6.25873	1.7	"excision repair cross-complementing rodent repair deficiency, complementation group 1"
10480381	Arhgap21	NM_001081364	0.00030024	1.33E-06	1.60E+01	6.2564	1.84	Rho GTPase activating protein 21
10361007	Smyd2	NM_026796	0.0003013	1.34E-06	1.60E+01	6.2466	1.92	SET and MYND domain containing 2
10454786	Ctnna1	NM_009818	0.00030143	1.35E-06	1.59E+01	6.23989	2.82	"catenin (cadherin associated protein), alpha 1"
10423520	Sema5a	NM_009154	0.00030292	1.37E-06	1.59E+01	6.22504	2.66	"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
10346747	Cyp20a1	NM_030013	0.00030292	1.38E-06	1.59E+01	6.21603	1.87	"cytochrome P450, family 20, subfamily a, polypeptide 1"
10557481	Ypel3	NM_025347	0.00030292	1.38E-06	-1.59E+01	6.2139	-1.86	yippee-like 3 (Drosophila)
10394054	Cd7	NM_009854	0.00030292	1.39E-06	-1.59E+01	6.20986	-2.51	CD7 antigen
10437687	Litaf	NM_019980	0.00030292	1.40E-06	1.59E+01	6.20125	2.96	LPS-induced TN factor
10461587	Ms4a4a	XM_986941	0.00030292	1.41E-06	1.58E+01	6.19377	3.23	"membrane-spanning 4-domains, subfamily A, member 4A"
10553598	Cyfip1	NM_001164661	0.00030292	1.41E-06	1.58E+01	6.19216	1.66	cytoplasmic FMR1 interacting protein 1
10498018	Pcdh18	NM_130448	0.00030761	1.44E-06	1.58E+01	6.17088	2.05	protocadherin 18
10439845	Gm5486	XR_397050	0.00030939	1.46E-06	1.57E+01	6.15712	4.4	predicted gene 5486
10440393	Samsn1	NM_023380	0.00030939	1.47E-06	1.57E+01	6.15328	1.61	"SAM domain, SH3 domain and nuclear localization signals, 1"
10587854	Slc9a9	NM_177909	0.00031018	1.49E-06	-1.57E+01	6.14257	-2.02	"solute carrier family 9 (sodium/hydrogen exchanger), member 9"
10560190	Ehd2	NM_153068	0.00031018	1.50E-06	1.57E+01	6.1337	2.61	EH-domain containing 2
10515257	Rad54l	NM_009015	0.00031018	1.50E-06	1.57E+01	6.13232	1.95	RAD54 like (S. cerevisiae)
10474006	Phf21a	NM_001109690	0.00031018	1.51E-06	-1.57E+01	6.12743	-1.75	PHD finger protein 21A
10569707	Myadm	NM_001093764	0.00031164	1.53E-06	1.56E+01	6.11698	2.71	myeloid-associated differentiation marker
10545958	Anxa4	XM_006505399	0.00031236	1.54E-06	1.56E+01	6.10878	2.39	annexin A4
10390535	Arl5c	NM_207231	0.00031236	1.55E-06	-1.56E+01	6.1021	-2.94	ADP-ribosylation factor-like 5C
10440491	App	NM_001198823	0.00031236	1.57E-06	1.56E+01	6.09016	1.97	amyloid beta (A4) precursor protein
10530612	Fryl	NM_028194	0.00031236	1.57E-06	-1.56E+01	6.08685	-1.7	FRY like transcription coactivator
10356475	Arl4c	NM_177305	0.00031236	1.57E-06	-1.56E+01	6.0864	-2.17	ADP-ribosylation factor-like 4C
10574027	Mt1	NM_013602	0.00031604	1.61E-06	1.55E+01	6.06592	2.73	metallothionein 1
10346164	Sdpr	NM_138741	0.00031604	1.61E-06	1.55E+01	6.06358	2.84	serum deprivation response
10562044	Zbtb32	NM_021397	0.00032332	1.67E-06	1.54E+01	6.0253	3.38	zinc finger and BTB domain containing 32
10387316	Chd3	NM_146019	0.00032332	1.68E-06	-1.54E+01	6.02248	-1.99	chromodomain helicase DNA binding protein 3
10547906	Lag3	NM_008479	0.00032332	1.68E-06	1.54E+01	6.02156	2.13	lymphocyte-activation gene 3
10356084	Irs1	NM_010570	0.00032332	1.68E-06	1.54E+01	6.01891	1.77	insulin receptor substrate 1
10373223	Lrp1	NM_008512	0.00032588	1.70E-06	1.54E+01	6.00563	1.92	low density lipoprotein receptor-related protein 1
10431935	Amigo2	NM_001164563	0.00032623	1.72E-06	1.54E+01	5.99917	2.55	adhesion molecule with Ig like domain 2
10501007	Chil5	XM_006543807	0.00032722	1.73E-06	-1.54E+01	5.99079	-2.54	chitinase-like 5
10548905	Eps8	NM_001271587	0.00033071	1.77E-06	1.53E+01	5.96885	2.78	epidermal growth factor receptor pathway substrate 8
10569014	Ifitm2	NM_030694	0.00033071	1.77E-06	1.53E+01	5.96792	3.82	interferon induced transmembrane protein 2
10592201	Chek1	NM_007691	0.00033071	1.78E-06	1.53E+01	5.96428	2.18	checkpoint kinase 1
10339948		0	0.0003364	1.82E-06	-1.52E+01	5.94192	-1.62	
10501629	Cdc14a	NM_001080818	0.00033837	1.86E-06	1.52E+01	5.9189	1.83	CDC14 cell division cycle 14A
10558769	Ifitm1	NM_001112715	0.00033837	1.86E-06	1.52E+01	5.91817	4.68	interferon induced transmembrane protein 1
10497548	Fndc3b	NM_173182	0.00033837	1.87E-06	1.52E+01	5.91307	1.67	fibronectin type III domain containing 3B
10523175	Ereg	NM_007950	0.00033837	1.88E-06	1.52E+01	5.90654	3.89	epiregulin
10587508	Ttk	NM_001110265	0.00033837	1.88E-06	1.52E+01	5.90581	2.69	Ttk protein kinase
10427125	Igfbp6	NM_008344	0.00033837	1.89E-06	1.51E+01	5.90252	2.77	insulin-like growth factor binding protein 6
10362097	H60b	NM_001177775	0.00033837	1.89E-06	-1.51E+01	5.90006	-2.18	histocompatibility 60b
10454709	Kif20a	NM_001166406	0.00034343	1.93E-06	1.51E+01	5.87928	1.89	kinesin family member 20A
10595298	Filip1	NM_001081243	0.00034343	1.94E-06	1.51E+01	5.87506	3.43	filamin A interacting protein 1
10498998	D930015E06Rik	NM_172681	0.00035621	2.02E-06	-1.50E+01	5.83326	-1.99	RIKEN cDNA D930015E06 gene
10606058	Cxcr3	NM_009910	0.00035641	2.03E-06	-1.50E+01	5.82771	-4.49	chemokine (C-X-C motif) receptor 3
10564343	Tjp1	NM_001163574	0.00036426	2.09E-06	1.49E+01	5.79967	2.81	tight junction protein 1
10544150	Kdm7a	NM_001033430	0.00036426	2.10E-06	-1.49E+01	5.79586	-2.04	lysine (K)-specific demethylase 7A
10394534	Osr1	NM_011859	0.00036506	2.12E-06	1.49E+01	5.78467	3.03	odd-skipped related 1 (Drosophila)
10412376	Gm17509	ENSMUST00000165680	0.00036506	2.13E-06	-1.49E+01	5.77969	-1.78	"predicted gene, 17509"
10528480	Pkm	AK153483	0.00036506	2.14E-06	1.49E+01	5.7787	1.58	"pyruvate kinase, muscle"
10355312	Ikzf2	AF044257	0.00036506	2.15E-06	1.49E+01	5.77414	2.29	IKAROS family zinc finger 2
10419198	Ero1l	NM_015774	0.00036633	2.16E-06	1.48E+01	5.76581	1.57	ERO1-like (S. cerevisiae)
10571142	Adgra2	NM_054044	0.00038713	2.30E-06	1.47E+01	5.70515	1.99	adhesion G protein-coupled receptor A2
10586781	Myo1e	NM_181072	0.0003872	2.31E-06	1.47E+01	5.70019	1.83	myosin IE
10569017	Ifitm3	NM_025378	0.00038816	2.33E-06	1.47E+01	5.69291	4.26	interferon induced transmembrane protein 3
10424221	Tbc1d31	NM_001081396	0.00038899	2.34E-06	1.47E+01	5.68601	1.74	"TBC1 domain family, member 31"
10576049	Foxf1	NM_010426	0.00039304	2.38E-06	1.46E+01	5.67077	2.64	forkhead box F1
10545974	Antxr1	NM_054041	0.00041846	2.54E-06	1.45E+01	5.60249	1.51	anthrax toxin receptor 1
10586604	Rps27l	NM_026467	0.00041947	2.57E-06	1.44E+01	5.59036	1.65	ribosomal protein S27-like
10404053	Hist1h2bc	NM_023422	0.00041947	2.58E-06	1.44E+01	5.58812	3.42	"histone cluster 1, H2bc"
10436106	C330027C09Rik	NM_172616	0.00041947	2.58E-06	1.44E+01	5.58603	2.42	RIKEN cDNA C330027C09 gene
10439009	Apod	NM_007470	0.00042071	2.61E-06	1.44E+01	5.57471	2.47	apolipoprotein D
10494428	Txnip	NM_001009935	0.00042071	2.61E-06	-1.44E+01	5.57379	-1.66	thioredoxin interacting protein
10413419	Arhgef3	NM_001289686	0.00042088	2.63E-06	-1.44E+01	5.56878	-2.61	Rho guanine nucleotide exchange factor (GEF) 3
10564527	Nr2f2	NM_009697	0.00042768	2.68E-06	1.44E+01	5.54793	3.02	"nuclear receptor subfamily 2, group F, member 2"
10485948	Grem1	NM_011824	0.00042776	2.69E-06	1.43E+01	5.54319	1.75	"gremlin 1, DAN family BMP antagonist"
