	GeneSymbol_GSM2386506_Kupper.txt	mRNA_Accession_GSM2386506_Kupper.txt	adj.P.Val_GSM2386506_Kupper.txt	logFC_GSM2386506_Kupper.txt	GeneSymbol_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	mRNA_Accession_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	adj.P.Val_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	logFC_GSE47045_GEO2R_TRM_v_TN_Carbone.txt	GeneSymbol_GSE79858_Slansky_TIL_v_TN.txt	mRNA_Accession_GSE79858_Slansky_TIL_v_TN.txt	adj.P.Val_GSE79858_Slansky_TIL_v_TN.txt	logFC_GSE79858_Slansky_TIL_v_TN.txt	GeneSymbol_GSE_Anderson_TIL_v_Naive.txt	mRNA_Accession_GSE_Anderson_TIL_v_Naive.txt	adj.P.Val_GSE_Anderson_TIL_v_Naive.txt	logFC_GSE_Anderson_TIL_v_Naive.txt
98	1190003J15Rik	ENSMUST00000026554	0.7827	0.39605033												
99	1190003K10Rik	NM_001195435	0.9854	0.01645767									1190003K10Rik	NM_001195435	0.855	-0.056985400000000005
100	1190005F20Rik	NM_026876	0.3953	-0.90733333												
101	1190005I06Rik	NM_197988	0.7931	0.23247367	1190005I06Rik	NM_197988	0.529963	0.40668889	1190005I06Rik	NM_197988	0.60831872	0.0867	1190005I06Rik	NM_197988	0.125	0.39081350000000004
102	1190007F08Rik	NM_001163721	0.9504	0.04980967												
103	1190007I07Rik	NM_001135567	0.8114	0.14229133	1190007I07Rik	NM_001135567	0.301612	-0.75092229	1190007I07Rik	NM_001135567	0.68612505	-0.0767	1190007I07Rik	NM_001135567	0.278	0.33155450000000003
104	1200007C13Rik	AK004627	0.9964	0.00359733									1200007C13Rik	AK004627	0.256	-0.47713249999999996
105	1200009I06Rik	NM_028807	0.85	-0.156186665												
106	1200011I18Rik	NM_026177	0.6415	-0.450784												
107	1200011M11Rik	NM_024262	0.8079999999999999	-0.31760667												
108	1200014J11Rik	NM_025818	0.4728	-0.631376												
109	1200016B10Rik	NM_025819	0.4861	-0.335837												
110	1300001I01Rik	BC072573	0.9467	-0.083841												
111	1300002E11Rik	NR_037957	0.2796	-1.15876									1300002E11Rik	NR_037957	0.124	-1.0141794
112	1300002K09Rik	ENSMUST00000107783	0.8339	0.20059133												
113	1300010F03Rik	NM_027906	0.759	0.26327967												
114	1300014I06Rik	NM_025831	0.475	0.88219033												
115	1300015D01Rik	NR_040321	0.911	-0.08481133												
116	1300017J02Rik	NM_027918	0.9002	0.09988	1300017J02Rik	NM_027918	0.8362719999999999	-0.12595334	1300017J02Rik	NM_027918	0.055871000000000004	-0.457	1300017J02Rik	NM_027918	0.0469	-1.0544598
117	1300018I17Rik	ENSMUST00000122363	0.9622	-0.03647867												
118	1500001M20Rik	NM_026894	0.7656	-0.315454												
119	1500002O10Rik	NR_040496	0.736	-0.27353833												
120	1500002O20Rik	NM_028047	0.4325	-0.909049												
121	1500003O03Rik	NM_019769	0.6111	0.678184												
122	1500009C09Rik	NR_037698	0.8640000000000001	-0.18848	1500009C09Rik	NR_037697	0.6152029999999999	-0.3567732	1500009C09Rik	NR_037697	0.35406243	-0.237	1500009C09Rik	NR_037697	0.68	-0.1347271
123	1500009L16Rik	NM_001145198	0.9445	0.28862867									1500009L16Rik	NM_001145198	0.0520431	2.5417172499999996
124	1500010J02Rik	NR_026565	0.8540000000000001	0.15511667												
125	1500011B03Rik	NR_027818	0.2038	-1.04729733	1500011B03Rik	NR_027817	0.863975	-0.15764957	1500011B03Rik	NR_027817	0.79164181	-0.0433	1500011B03Rik	NR_027817	0.31634999999999996	-0.32723465
126	1500011K16Rik	NR_015476	0.9147	-0.21163633	1500011K16Rik	NR_015476	0.887283	0.27377582	1500011K16Rik	NR_015476	0.10083322	0.523	1500011K16Rik	NM_175125	0.389	-0.5566118
127	1500012F01Rik	NM_001081005	0.8729	0.2427225												
128	1500012K07Rik	NR_045812	0.9347	0.06116667												
129	1500015A07Rik	NR_029432	0.7191	-0.720795									1500015A07Rik	NR_029432	0.873	0.1089072
130	1500015L24Rik	NR_045817	0.9531	-0.06368567	1500015L24Rik	NR_045817	0.7025819999999999	-0.19004559	1500015L24Rik	NR_045817	0.44947112	-0.13				
131	1500015O10Rik	NM_024283	0.316	1.61962333	1500015O10Rik	NM_024283	0.842987	-0.19639015	1500015O10Rik	NM_024283	0.14000325	-0.43	1500015O10Rik	NM_024283	0.659	0.18185346666666669
132	1500016L03Rik	NR_038057	0.939	-0.063181												
133	1500017E21Rik	NR_033510	0.7843	-0.186596									1500017E21Rik	NR_033510	0.34	0.1947201
134	1500026H17Rik	AK048993	0.7991	-0.15215533												
135	1500031L02Rik	ENSMUST00000042869	0.4186	-0.4376140000000001												
136	1500032L24Rik	BC028457	0.948	-0.06230833												
137	1500035N22Rik	AK005363	0.9973	0.00479433	1500035N22Rik	XR_140695	0.8768219999999999	-0.1398573	1500035N22Rik	XR_140695	0.32501482	-0.253	1500035N22Rik	XR_140695	0.113	-0.8468821
138	1520402A15Rik	ENSMUST00000030469	0.8484	0.13227467												
139	1600002D24Rik	NR_040484	0.8123	0.20108												
140	1600002H07Rik	BC072612	0.6813	-0.35870100000000005	1600002H07Rik	ENSMUST00000024930	0.82875	0.32497124	1600002H07Rik	ENSMUST00000024930	0.81933404	-0.0567	1600002H07Rik	NM_028056	0.0102	-0.8961578000000001
141	1600002K03Rik	BC146018	0.1564	-1.22797533	1600002K03Rik	NM_027207	0.7623880000000001	-0.31718436	1600002K03Rik	NM_027207	0.19811834	-0.297	1600002K03Rik	NM_027207	0.00599	-0.8541318000000001
142	1600010M07Rik	NR_037959	0.8089	-0.11702916500000002									1600010M07Rik	NR_037959	0.945	-0.0245225
143	1600012F09Rik	NM_025904	0.48395	-0.59782367												
144	1600012H06Rik	NM_001083882	0.6412	-0.319815	1600012H06Rik	NM_001083880	0.770895	-0.25392929	1600012H06Rik	NM_001083880	0.15861711	-0.26	1600012H06Rik	NM_001083880	0.480325	-0.39210265
145	1600012P17Rik	BC100356	0.9879	-0.012566	1600012P17Rik	ENSMUST00000062159	0.87925	-0.1050393	1600012P17Rik	ENSMUST00000062159	0.27634343	-0.337	1600012P17Rik	XR_104618	0.16399999999999998	-0.46584220000000004
146	1600014C10Rik	NM_001085385	0.6027	-0.39782067	1600014C10Rik	NM_001085385	0.5368109999999999	-0.37289039	1600014C10Rik	NM_001085385	0.11244776	-0.447	1600014C10Rik	NM_001085385	0.329375	0.10432995000000005
147	1600014C23Rik	NM_028164	0.8849	-0.14199267	1600014C23Rik	NM_028164	0.9823729999999999	-0.02291665	1600014C23Rik	NM_028164	0.65189731	-0.127	1600014C23Rik	NM_028164	0.504	-0.1868411
148	1600014K23Rik	NM_028046	0.9791	-0.02968367												
149	1600015I10Rik	NM_001081273	0.6842	0.217429	1600015I10Rik	NM_001081273	0.7249359999999999	0.26896831	1600015I10Rik	NM_001081273	0.26740071	-0.32299999999999995	1600015I10Rik	NM_001081273	0.397	-0.3164146
150	1600016N20Rik	BC119093	0.9058	0.181439												
151	1600017P15Rik	AK005488	0.7364	0.339625	1600017P15Rik	ENSMUST00000083427	0.894639	0.07427285	1600017P15Rik	ENSMUST00000083427	0.1169183	-0.41				
152	1600019K03Rik	NR_040481	0.9263	0.09819567												
153	1600020E01Rik	NR_037961	0.9132	0.139639									1600020E01Rik	NR_037960	0.5720000000000001	-0.6401739000000001
154	1600021P15Rik	NM_177718	0.9148	-0.115889												
155	1600025M17Rik	NR_038168	0.8472	0.12200167									1600025M17Rik	NR_038168	0.9359999999999999	0.035904900000000003
156	1600027N09Rik	NM_028479	0.9658	0.09246367												
157	1600029D21Rik	NM_029639	0.39315	1.317657165												
158	1600029I14Rik	NR_028123	0.1973	-0.775213									1600029I14Rik	NM_001165957	0.915	0.0249726
159	1600029O15Rik	NR_033522	0.7719	0.19858467	1600029O15Rik	NR_033522	0.8403780000000001	0.08431188	1600029O15Rik	NR_033522	0.36171248	0.09485000000000002	1600029O15Rik	NR_033522	0.0157	0.7014998
160	1700001C02Rik	BC060996	0.8649	-0.16269533	1700001C02Rik	XM_006504170	0.800683	0.15884804	1700001C02Rik	XM_006504170	0.80025967	-0.0633	1700001C02Rik	NM_029285	0.2715	-0.05523170000000002
161	1700001C19Rik	NM_029296	0.9919	-0.01066533	1700001C19Rik	NM_001172091	0.948349	0.05462752	1700001C19Rik	NM_001172091	0.64642276	-0.08	1700001C19Rik	NM_001172091	0.5905	-0.18306194999999997
162	1700001D01Rik	NR_045475	0.9123	-0.18551333									1700001D01Rik	NR_045475	0.158	-0.3667154
163	1700001G01Rik	AK005589	0.8034	-0.14307167												
164	1700001G11Rik	NR_038077	0.9732	-0.04097133									1700001G11Rik	NR_038077	0.87	-0.045471199999999996
165	1700001G17Rik	NR_033199	0.557	-0.42222033	1700001G17Rik	NR_033199	0.975266	0.028210400000000004	1700001G17Rik	NR_033199	0.16094468	-0.26	1700001G17Rik	NM_026204	0.0989	-0.525922
166	1700001J03Rik	BC048528	0.9677	0.04174367	1700001J03Rik	ENSMUST00000073721	0.8868389999999999	-0.14238389	1700001J03Rik	ENSMUST00000073721	0.14991479	-0.28300000000000003				
167	1700001J11Rik	NR_033613	0.8472	0.14393599999999998	1700001J11Rik	NR_033613	0.787667	0.45743752	1700001J11Rik	NR_033613	0.10162091	0.57				
168	1700001K19Rik	NM_025488	0.8711	0.12714633	1700001K19Rik	NM_025488	0.794312	0.19113046	1700001K19Rik	NM_025488	0.13889964	-0.26	1700001K19Rik	NM_025488	0.316	0.27811199999999997
169	1700001K23Rik	NR_036590	0.3209	-0.61833633	1700001K23Rik	NR_036590	0.630167	-0.46105548	1700001K23Rik	NR_036590	0.98286807	0.006670000000000001				
170	1700001L05Rik	NR_027980	0.8114	-0.19372767	1700001L05Rik	NR_027980	0.9675540000000001	-0.03242751	1700001L05Rik	NR_027980	0.19460186	-0.313	1700001L05Rik	NM_001033147	0.513	0.1238522
171	1700001L19Rik	BC119515	1.0	-5.767e-05	1700001L19Rik	NM_027035	0.676416	-0.2261226	1700001L19Rik	NM_027035	0.81571246	-0.0467	1700001L19Rik	NM_027035	0.644	0.1535729
172	1700001O22Rik	ENSMUST00000050003	0.7624	-0.24470633	1700001O22Rik	NM_198000	0.961915	-0.03499013	1700001O22Rik	NM_198000	0.01411689	-0.77	1700001O22Rik	NM_198000	0.35100000000000003	0.5918159000000001
173	1700001P01Rik	NM_028156	0.9445	0.06156067	1700001P01Rik	NM_028156	0.9522639999999999	0.07174749	1700001P01Rik	NM_028156	0.47638009	0.22699999999999998	1700001P01Rik	NM_028156	0.2515	0.45779405000000006
174	1700003C15Rik	NR_045478	0.9859	0.01621833												
175	1700003D09Rik	NR_045477	0.599	0.35612433									1700003D09Rik	NR_045477	0.636	0.1796718
176	1700003E16Rik	NM_027948	0.7845	0.19564367	1700003E16Rik	NM_027948	0.9388719999999999	-0.04627029	1700003E16Rik	NM_027948	0.94844107	0.0133	1700003E16Rik	NM_027948	0.375	-0.38730679999999995
177	1700003E24Rik	BC089468	0.7217	0.197632835	1700003E24Rik	NR_103799	0.990976	-0.00781003	1700003E24Rik	NR_103799	0.81619386	-0.0433	1700003E24Rik	NM_183280	0.522	-0.1452872
178	1700003F12Rik	DQ080431	0.6791	-0.28354333	1700003F12Rik	XM_006500334	0.631471	0.21142311	1700003F12Rik	XM_006500334	0.38854307	-0.23	1700003F12Rik	NM_029305	0.962	-0.0019868499999999983
179	1700003F17Rik	NR_045932	0.8735	-0.20991467												
180	1700003G13Rik	NR_040720	0.8796	-0.11589333												
181	1700003G18Rik	NR_029433	0.8254	0.156127									1700003G18Rik	NR_029433	0.16699999999999998	-0.31291599999999997
182	1700003H04Rik	NR_015460	0.9156	0.10770467	1700003H04Rik	ENSMUST00000047110	0.677458	-0.23169381	1700003H04Rik	ENSMUST00000047110	0.82717794	-0.0367	1700003H04Rik	NR_015460	0.8055000000000001	-0.008137499999999995
183	1700003L19Rik	NR_040507	0.7375	0.195817												
184	1700003M02Rik	NM_027041	0.9124	0.08344267												
185	1700003M07Rik	NR_040647	0.9882	0.012787												
186	1700003P14Rik	NR_045982	0.9839	0.01729533									1700003P14Rik	NR_045982	0.0346	0.5675445
187	1700006A11Rik	BC137977	0.988	-0.013784	1700006A11Rik	XM_006502120	0.925492	-0.11837248	1700006A11Rik	XM_006502120	0.2362725	-0.26	1700006A11Rik	NM_027939	0.94	0.018256599999999998
188	1700006E09Rik	NM_029287	0.8913	0.09551133	1700006E09Rik	NM_029287	0.837874	-0.13074477	1700006E09Rik	NM_029287	0.61327804	-0.10300000000000001	1700006E09Rik	NM_029287	0.948	0.022215799999999997
189	1700006F04Rik	NR_045621	0.7898	0.21037									1700006F04Rik	NR_045621	0.38	0.1559708
190	1700006H21Rik	NR_045900	0.9268	-0.06734967												
191	1700006J14Rik	BC098228	0.7275	0.203126	1700006J14Rik	ENSMUST00000041178	0.886461	0.08192073	1700006J14Rik	ENSMUST00000041178	0.97657201	0.0133	1700006J14Rik	NM_177313	0.872	-0.0407905
192	1700007B14Rik	NM_001164235	0.9528000000000001	-0.038392829999999996	1700007B14Rik	NM_001164235	0.959728	0.03282822	1700007B14Rik	NM_001164235	0.77026925	-0.1	1700007B14Rik	NM_001164235	0.6609999999999999	0.0840812
193	1700007E05Rik	AK005701	0.7462	-0.17251633	1700007E05Rik	XM_006544602	0.81288675	-0.03792028499999999	1700007E05Rik	XM_006544602	0.465518185	-0.36075000000000007	1700007E05Rik	XR_002317	0.9790000000000001	0.0139254
194	1700007F19Rik	NR_040538	0.9776	-0.02373567									1700007F19Rik	NR_040538	0.953	-0.0157027
195	1700007G11Rik	BC049770	0.9464	0.074339	1700007G11Rik	XM_006535279	0.683033	-0.19442357	1700007G11Rik	XM_006535279	0.26019593	-0.17300000000000001	1700007G11Rik	NM_001024614	0.348	0.2479183
196	1700007I08Rik	NM_001171640	0.8449	-0.16018667												
197	1700007J10Rik	NR_045476	0.8340000000000001	0.19372133									1700007J10Rik	NR_045476	0.146	-0.5400026
198	1700007K09Rik	NM_027037	0.9839	-0.01918767	1700007K09Rik	NM_027037	0.763756	0.20507579999999997	1700007K09Rik	NM_027037	0.92978095	0.02	1700007K09Rik	NM_027037	0.619	0.21762150000000002
